player_id,player,team,conference,season,draft_year,draft_overall,position,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4426374,Tyrique Stevenson,Miami,ACC,2022,2023,56,Cornerback,7.0,0.0,0.0,18.0,0.0,1.5,25.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,8.8,30.0,4.0,0.0,35.0,,,,,,,,,,,,,,,,
4426376,Charles Cross,Mississippi State,SEC,2020,2022,9,Offensive Tackle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426385,Zach Charbonnet,Michigan,Big Ten,2019,2023,52,Running Back,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,30.0,3.8,149.0,41.0,11.0,726.0,4.9
4426385,Zach Charbonnet,Michigan,Big Ten,2020,2023,52,Running Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,0.0,41.0,6.8,19.0,70.0,1.0,124.0,6.5
4426385,Zach Charbonnet,UCLA,Pac-12,2021,2023,52,Running Back,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,24.0,0.0,197.0,8.2,202.0,47.0,13.0,1137.0,5.6
4426385,Zach Charbonnet,UCLA,Pac-12,2022,2023,52,Running Back,,,,,,,,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,37.0,0.0,321.0,8.7,195.0,49.0,14.0,1359.0,7.0
4426386,Roschon Johnson,Texas,Big 12,2019,2023,115,Running Back,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,25.0,23.0,1.0,158.0,6.9,123.0,57.0,7.0,649.0,5.3
4426386,Roschon Johnson,Texas,Big 12,2020,2023,115,Running Back,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,17.2,21.0,5.0,0.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,8.0,1.0,51.0,6.4,80.0,43.0,6.0,417.0,5.2
4426386,Roschon Johnson,Texas,Big 12,2021,2023,115,Running Back,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,,,,1.0,1.0,0.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,14.0,11.0,0.0,83.0,7.5,96.0,72.0,5.0,569.0,5.9
4426386,Roschon Johnson,Texas,Big 12,2022,2023,115,Running Back,0.0,0.0,0.0,5.0,0.0,0.0,7.0,1.0,1.0,0.0,,,,,19.5,24.0,2.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,14.0,1.0,128.0,9.1,93.0,52.0,5.0,554.0,6.0
4426388,Jameson Williams,Alabama,SEC,2021,2022,12,Wide Receiver,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,,,,,35.2,100.0,10.0,2.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,79.0,15.0,1572.0,19.9,3.0,18.0,0.0,23.0,7.7
4426388,Jameson Williams,Ohio State,Big Ten,2019,2022,12,Wide Receiver,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,6.0,1.0,112.0,18.7,,,,,
