trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,approx_pick_value_points,selected_player_id,selected_player_name,description
658,2003,2003-04-16,MIA,SD,2004,5.0,154.0,False,30.345286061298786,TurnMi00,Michael Turner,2004 R5 #154 (Michael Turner)
659,2003,2003-04-24,GB,KC,2005,7.0,238.0,True,2.1810154653305154,,,conditional 2005 R7 #238
660,2003,2003-04-25,NE,MIA,2003,3.0,78.0,False,186.57029044525893,SmitWa21,Wade Smith,2003 R3 #78 (Wade Smith)
660,2003,2003-04-25,MIA,NE,2004,2.0,56.0,False,328.2735003541492,WillMa20,Madieu Williams,2004 R2 #56 (Madieu Williams)
661,2003,2003-04-26,CHI,NYJ,2003,1.0,4.0,False,1800.0,RobeDe20,Dewayne Robertson,2003 R1 #4 (Dewayne Robertson)
661,2003,2003-04-26,NYJ,CHI,2003,1.0,13.0,False,1150.0,WarrTy20,Ty Warren,2003 R1 #13 (Ty Warren)
661,2003,2003-04-26,NYJ,CHI,2003,1.0,22.0,False,780.0,GrosRe00,Rex Grossman,2003 R1 #22 (Rex Grossman)
661,2003,2003-04-26,NYJ,CHI,2003,4.0,116.0,False,62.38634329516793,ScotIa20,Ian Scott,2003 R4 #116 (Ian Scott)
662,2003,2003-04-26,ARI,NO,2003,1.0,6.0,False,1600.0,SullJo23,Johnathan Sullivan,2003 R1 #6 (Johnathan Sullivan)
662,2003,2003-04-26,NO,ARI,2003,1.0,17.0,False,950.0,JohnBr02,Bryant Johnson,2003 R1 #17 (Bryant Johnson)
662,2003,2003-04-26,NO,ARI,2003,1.0,18.0,False,900.0,PaceCa20,Calvin Pace,2003 R1 #18 (Calvin Pace)
662,2003,2003-04-26,ARI,NO,2003,2.0,37.0,False,522.1640557764364,StinJo20,Jon Stinchcomb,2003 R2 #37 (Jon Stinchcomb)
662,2003,2003-04-26,NO,ARI,2003,2.0,54.0,False,344.7099675133492,BoldAn00,Anquan Boldin,2003 R2 #54 (Anquan Boldin)
662,2003,2003-04-26,ARI,NO,2003,4.0,102.0,False,96.30469311789194,HollMo20,Montrae Holland,2003 R4 #102 (Montrae Holland)
663,2003,2003-04-26,CHI,NE,2003,1.0,13.0,False,1150.0,WarrTy20,Ty Warren,2003 R1 #13 (Ty Warren)
663,2003,2003-04-26,NE,CHI,2003,1.0,14.0,False,1100.0,HaynMi20,Michael Haynes,2003 R1 #14 (Michael Haynes)
663,2003,2003-04-26,NE,CHI,2003,6.0,193.0,False,13.46250598229572,,,2003 R6 #193
664,2003,2003-04-26,SD,PHI,2003,1.0,15.0,False,1050.0,McDoJe20,Jerome McDougle,2003 R1 #15 (Jerome McDougle)
664,2003,2003-04-26,PHI,SD,2003,1.0,30.0,False,620.0,DaviSa21,Sammy Davis,2003 R1 #30 (Sammy Davis)
