pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games
HudsRo00,Rodney Hudson,Rodney Hudson,OL,C,Florida State,SR,1,2010,2010,2011,2.0,14
RoseRo01,Roger Rosengarten,Roger Rosengarten,OL,RT,Washington,SO,1,2023,2023,2024,17.0,15
PierRo00,Ross Pierschbacher,Ross Pierschbacher,OL,C,Alabama,SR,2,2015,2018,2019,0.0,30
GroyRy00,Ryan Groy,Ryan Groy,OL,G,Wisconsin,JR,2,2011,2012,2014,1.0,28
HayeRy00,Ryan Hayes,Ryan Hayes,OL,T,Michigan,SR,1,2021,2021,2024,0.0,14
HuntRy00,Ryan Hunter,Ryan Hunter,OL,T,Bowling Green,SO,1,2015,2015,2019,0.0,14
KellRy00,Ryan Kelly,Ryan Kelly,OL,C,Alabama,SR,1,2015,2015,2016,13.0,15
TeckSa00,Sam Tecklenburg,Sam Tecklenburg,OL,T,Baylor,SR,1,2019,2019,2020,1.0,14
CosmSa00,Samuel Cosmi,Samuel Cosmi,OL,RT,Texas,FR,1,2018,2018,2021,7.0,14
LaumSa00,Sataoa Laumea,Sataoa Laumea,OL,G,Utah,SO,1,2022,2022,2024,2.0,14
WediSc00,Scott Wedige,Scott Wedige,OL,C,Northern Illinois,SR,1,2011,2011,2012,0.0,14
LongSp00,Spencer Long,Spencer Long,OL,C,Nebraska,JR,1,2012,2012,2014,7.0,14
BassTJ00,T.J. Bass,T.J. Bass,OL,G,Oregon,JR,1,2021,2021,2023,4.0,14
DeckTa00,Taylor Decker,Taylor Decker,OL,LT,Ohio State,JR,1,2014,2014,2016,12.0,15
HearTa00,Taylor Hearn,Taylor Hearn,G,G,Clemson,JR,2,2016,2017,2018,0.0,28
FredTr00,Travis Frederick,Travis Frederick,OL,C,Wisconsin,JR,1,2012,2012,2013,21.0,14
AnchTr00,Tremayne Anchrum,Tremayne Anchrum,T,G,Clemson,SO,1,2017,2017,2020,1.0,14
WillTr21,Trent Williams,Trent Williams,OL,LT,Oklahoma,JR,1,2008,2008,2010,10.0,14
KeegTr00,Trevor Keegan,Trevor Keegan,OL,G,Michigan,SR,1,2023,2023,2024,0.0,15
FautTr00,Troy Fautanu,Troy Fautanu,OL,OT,Washington,JR,1,2023,2023,2024,9.0,15
GrabTy00,Tylan Grable,Tylan Grable,OL,OT,UCF,SR,1,2022,2022,2024,2.0,14
BiadTy00,Tyler Biadasz,Tyler Biadasz,OL,C,Wisconsin,JR,1,2019,2019,2020,9.0,14
LindTy00,Tyler Linderbaum,Tyler Linderbaum,OL,C,Iowa,JR,1,2021,2021,2022,16.0,14
McClWa00,Warren McClendon,Warren McClendon,OL,OL,Georgia,SO,1,2021,2021,2023,3.0,15
BannZa00,Zach Banner,Zach Banner,T,T,USC,JR,1,2015,2015,2017,1.0,14
TomxZa00,Zach Tom,Zach Tom,OL,RT,Wake Forest,JR,1,2021,2021,2022,12.0,14
